market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
15425.0,0.0,8.08,2.6,1.74,,IFCI,38.6
46858.0,0.77,18.7,25.2,3.64,0.2359,MOTILALOFS,23.1
30604.0,2.29,4.38,0.45,2.3,-0.0643,MRPL,14.0
57325.0,0.28,22.4,19.0,12.44,0.1031,APLAPOLLO,50.2
32284.0,0.0,9.63,6.66,2.92,,ITCHOTELS,39.4
12014.0,1.87,25.0,23.2,4.45,0.0641,ENGINERSIN,15.5
7363.0,0.0,-2.87,-10.9,1.18,-0.1397,ABFRL,
23688.0,0.0,20.9,13.9,2.39,0.0711,AWL,24.7
100302.0,0.0,56.8,45.2,14.63,0.1312,LGEINDIA,48.8
89033.0,0.7,24.9,18.8,5.4,0.1362,ICICIGI,32.6
20389.0,0.0,-0.49,-3.31,5.51,0.3462,PINELABS,
11220.0,0.0,8.04,6.39,8.82,0.1495,HONASA,70.4
19182.0,0.08,18.7,14.8,11.84,0.0976,NEULANDLAB,107.0
21414.0,0.44,13.7,15.4,6.35,0.1347,KIRLOSENG,39.4
19777.0,0.54,32.8,28.0,2.29,0.1898,NATCOPHARM,12.7
12297.0,0.27,12.7,12.1,5.04,0.1051,MINDACORP,42.4
15565.0,1.24,19.0,17.4,4.58,0.0465,CROMPTON,31.8
56505.0,0.14,6.25,4.76,1.75,0.1462,BIOCON,68.8
54802.0,0.71,9.64,15.3,3.62,,SUNDARMFIN,26.0
19340.0,0.06,19.9,16.0,13.65,0.2534,ACUTAAS,67.4
15271.0,0.96,18.0,12.0,2.71,0.1155,KEC,21.0
11178.0,2.02,15.0,18.6,2.4,,APTUS,12.6
43384.0,1.57,49.0,37.1,10.17,0.1237,IRCTC,31.4
11460.0,0.37,21.1,17.4,4.1,0.1542,JWL,45.4
32198.0,0.77,25.8,20.1,8.25,0.1001,JBCHEPHARM,42.7
15015.0,0.0,11.5,11.7,2.25,0.8212,INOXWIND,29.9
28819.0,2.41,35.5,27.0,8.11,0.1042,ABSLAMC,28.3
36532.0,1.6,28.3,22.2,5.9,0.1005,LTTS,28.5
71608.0,0.0,9.55,13.5,3.38,,BAJAJHFL,28.8
85827.0,0.05,16.0,14.7,5.62,0.1673,MANKIND,46.2
84767.0,0.07,38.3,31.4,10.61,0.5417,LLOYDSME,34.4
19713.0,0.12,9.58,7.38,2.22,0.1689,SAGILITY,22.6
19107.0,0.78,6.86,12.6,1.92,,CUB,15.2
64009.0,0.12,12.0,10.1,6.78,0.1167,FORTIS,63.5
53126.0,0.13,21.8,12.8,7.06,0.1333,TIINDIA,86.0
15647.0,0.0,20.0,19.6,12.79,0.3942,CHOICEIN,74.8
12839.0,1.94,11.6,11.3,1.99,-0.0358,IRCON,20.9
21836.0,0.0,3.75,-1.22,4.78,0.0593,WOCKPHARMA,201.0
64375.0,0.38,18.2,16.2,3.57,0.0542,JSL,21.8
43006.0,1.66,14.8,55.2,15.11,0.1076,TATACOMM,37.6
10254.0,0.0,11.6,11.6,3.15,,SBFC,29.7
61044.0,0.9,27.3,20.2,10.09,0.1215,SCHAEFFLER,53.0
9043.0,0.0,13.0,18.4,7.31,0.1716,LEMONTREE,37.7
9208.0,0.99,16.2,12.0,5.34,0.1732,RAILTEL,49.1
10815.0,0.32,3.96,2.59,2.31,0.007,HEG,28.4
29804.0,0.57,19.8,17.0,5.59,0.0236,KPRMILL,35.3
19370.0,0.88,8.81,4.9,1.49,,IIFL,15.1
92111.0,1.2,24.3,21.2,3.65,0.1481,ZYDUSLIFE,18.0
17751.0,1.73,53.6,43.9,14.58,0.1497,CAMS,38.3
55856.0,0.3,13.9,16.2,5.47,0.1704,JSWINFRA,34.5
14094.0,0.03,28.0,22.8,5.37,0.1385,ECLERX,21.1
19439.0,0.35,23.2,17.2,3.71,-0.0303,GPIL,26.2
43862.0,0.71,16.7,15.8,4.2,0.0293,BALKRISIND,33.4
29244.0,1.88,8.93,16.0,0.76,,LICHSGFIN,5.33
50853.0,0.71,,11.4,4.21,0.4766,PATANJALI,30.3
8803.0,0.0,7.59,6.24,3.77,0.2702,CARTRADE,43.0
9610.0,1.44,21.7,11.4,1.27,0.1004,NCC,12.9
12480.0,0.69,12.8,11.1,2.38,0.027,JKTYRE,17.1
6375.0,1.12,28.0,22.5,4.0,0.168,NEWGEN,19.6
12578.0,0.83,13.7,14.1,1.95,0.1562,PARADEEP,12.2
11591.0,2.31,53.4,40.7,9.29,0.1335,IEX,24.1
